mean,se,outcome,curr_change,pre_change,group,region,lci,uci,exposure_type
-1.1365211027800475,0.011709108398871827,WAZ,-1,-1,19 to 24,Urban,-1.1594709552418363,-1.1135712503182587,Both minus 1000pp
-0.5958032650425875,0.009708246386701246,WHZ,-1,-1,19 to 24,Urban,-0.6148314279605219,-0.5767751021246531,Both minus 1000pp
-1.201500749070134,0.009792130469229953,HAZ,0,0,25 to 36,Urban,-1.2206933247898246,-1.1823081733504432,Baseline
-1.1581575553470906,0.007558237417520311,WAZ,0,0,25 to 36,Urban,-1.1729717006854306,-1.1433434100087507,Baseline
-0.7286544354122128,0.005275410352484059,WHZ,0,0,25 to 36,Urban,-0.7389942397030815,-0.718314631121344,Baseline
-1.1966599784231837,0.009780383650194955,HAZ,-1,0,25 to 36,Urban,-1.215829530377566,-1.1774904264688015,Current minus 1000pp
-1.1584529089363342,0.007558780897754727,WAZ,-1,0,25 to 36,Urban,-1.1732681194959336,-1.143637698376735,Current minus 1000pp
-0.7327357639155033,0.005273567432044129,WHZ,-1,0,25 to 36,Urban,-0.7430719560823098,-0.7223995717486968,Current minus 1000pp
-1.199069874052004,0.009796110411158814,HAZ,0,-1,25 to 36,Urban,-1.2182702504578753,-1.1798694976461328,Previous minus 1000pp
-1.1592167980632997,0.007557429486731749,WAZ,0,-1,25 to 36,Urban,-1.174029359857294,-1.1444042362693054,Previous minus 1000pp
-0.73211968836527,0.005279741466945791,WHZ,0,-1,25 to 36,Urban,-0.7424679816404838,-0.7217713950900562,Previous minus 1000pp
-1.1942291034050538,0.009784308336901573,HAZ,-1,-1,25 to 36,Urban,-1.213406347745381,-1.1750518590647268,Both minus 1000pp
-1.159512151652543,0.007557970958827185,WAZ,-1,-1,25 to 36,Urban,-1.1743257747318443,-1.1446985285732418,Both minus 1000pp
-0.7362010168685607,0.005277766298214137,WHZ,-1,-1,25 to 36,Urban,-0.7465454388130603,-0.725856594924061,Both minus 1000pp
-1.310366674997378,0.009528679497615457,HAZ,0,0,37 to 48,Urban,-1.3290428868127042,-1.2916904631820516,Baseline
-1.1985287335231258,0.008016504172611596,WAZ,0,0,37 to 48,Urban,-1.2142410817014446,-1.182816385344807,Baseline
-0.6463085045243828,0.005641989466774483,WHZ,0,0,37 to 48,Urban,-0.6573668038792608,-0.6352502051695048,Baseline
-1.307619801788614,0.009523868761864788,HAZ,-1,0,37 to 48,Urban,-1.326286584561869,-1.288953019015359,Current minus 1000pp
